               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.024165,            0.014138,            0.005937,             0.77408,             0.74611,             0.78294,             0.50428,              0.0298,           0.0079404,           0.0050008,           0.0051914,           0.0051914,           0.0051914
                  36,            0.023895,            0.013739,           0.0046779,             0.77115,             0.82216,             0.81399,              0.5492,            0.026706,           0.0079022,           0.0040459,             0.00505,             0.00505,             0.00505
                  37,             0.02376,            0.013962,           0.0047583,             0.78211,             0.72389,             0.78337,             0.54006,             0.02767,           0.0080965,           0.0058262,           0.0049086,           0.0049086,           0.0049086
                  38,            0.023216,            0.013709,           0.0050772,             0.77589,             0.75822,             0.77657,             0.55548,            0.025497,            0.007537,           0.0034769,           0.0047671,           0.0047671,           0.0047671
                  39,            0.023182,               0.014,           0.0049047,             0.75604,             0.81387,             0.78227,             0.55299,             0.02556,            0.007538,           0.0033755,           0.0046257,           0.0046257,           0.0046257
                  40,            0.023166,            0.013859,           0.0046822,             0.77869,             0.79057,             0.78496,             0.55498,             0.02556,           0.0078546,           0.0032716,           0.0044843,           0.0044843,           0.0044843
                  41,            0.022579,            0.013995,           0.0044134,             0.75339,             0.82902,               0.784,             0.57644,            0.023738,           0.0078667,           0.0031473,           0.0043429,           0.0043429,           0.0043429
                  42,            0.023094,            0.013927,           0.0053294,             0.76345,             0.79279,             0.77773,             0.52812,             0.02649,           0.0079515,           0.0054143,           0.0042014,           0.0042014,           0.0042014
                  43,            0.021869,            0.013881,           0.0045409,             0.76873,             0.78566,             0.77633,             0.53801,            0.025821,           0.0077815,           0.0029302,             0.00406,             0.00406,             0.00406
                  44,            0.022328,            0.013649,           0.0045042,             0.80018,             0.75939,             0.78569,             0.54515,            0.027089,           0.0079139,           0.0045166,           0.0039186,           0.0039186,           0.0039186
                  45,             0.02198,            0.013459,           0.0045398,             0.77383,             0.75846,             0.78245,             0.55231,             0.02686,           0.0083048,           0.0035583,           0.0037771,           0.0037771,           0.0037771
                  46,             0.02144,            0.013369,           0.0043324,             0.79443,              0.8487,             0.81238,             0.56989,            0.025901,           0.0079035,           0.0033797,           0.0036357,           0.0036357,           0.0036357
                  47,            0.021269,            0.013447,           0.0043476,              0.7628,              0.7867,             0.80187,             0.57878,            0.024373,           0.0076382,           0.0034246,           0.0034943,           0.0034943,           0.0034943
                  48,            0.020836,            0.013116,           0.0039805,             0.76517,             0.81387,             0.79748,              0.5487,            0.025781,           0.0076879,           0.0030371,           0.0033529,           0.0033529,           0.0033529
                  49,             0.02112,            0.013008,            0.004428,             0.79135,             0.80821,             0.78957,             0.56504,            0.024736,           0.0075631,           0.0025359,           0.0032114,           0.0032114,           0.0032114
                  50,            0.021071,            0.012926,           0.0045277,             0.77067,             0.77887,             0.79408,             0.56113,            0.024932,           0.0075529,           0.0035262,             0.00307,             0.00307,             0.00307
                  51,            0.020001,             0.01278,           0.0039146,              0.7732,              0.7905,             0.78301,             0.53312,            0.026858,           0.0078931,           0.0029305,           0.0029286,           0.0029286,           0.0029286
                  52,            0.020605,            0.012837,           0.0041892,             0.94498,             0.74753,             0.79505,             0.56761,            0.023799,           0.0071363,           0.0031507,           0.0027871,           0.0027871,           0.0027871
                  53,            0.020468,            0.013164,           0.0035329,             0.78062,             0.76065,             0.78821,             0.57712,            0.023387,           0.0074174,           0.0027623,           0.0026457,           0.0026457,           0.0026457
                  54,            0.020271,            0.012471,           0.0044252,             0.76916,             0.77779,             0.78759,             0.57058,            0.024116,           0.0075072,           0.0028974,           0.0025043,           0.0025043,           0.0025043
                  55,            0.020342,            0.012713,            0.004082,             0.79559,             0.77382,             0.78547,             0.57069,            0.024501,           0.0075619,           0.0025861,           0.0023629,           0.0023629,           0.0023629
                  56,              0.0198,            0.012689,           0.0045493,              0.7984,             0.79236,             0.78158,             0.56193,            0.024736,           0.0077462,           0.0028583,           0.0022214,           0.0022214,           0.0022214
                  57,             0.01935,            0.012259,           0.0040006,             0.78863,             0.78094,             0.78071,              0.5697,            0.024519,           0.0076433,           0.0025618,             0.00208,             0.00208,             0.00208
                  58,             0.01935,            0.012468,           0.0037018,             0.76585,             0.78464,             0.78873,             0.57077,            0.024642,           0.0077037,           0.0032496,           0.0019386,           0.0019386,           0.0019386
                  59,            0.019188,            0.012119,           0.0033136,             0.77622,              0.7939,             0.78106,             0.57613,            0.023944,           0.0076925,           0.0023742,           0.0017971,           0.0017971,           0.0017971
                  60,            0.019303,            0.012298,           0.0037533,             0.79148,             0.79315,             0.78877,              0.5703,            0.024603,           0.0078707,           0.0026049,           0.0016557,           0.0016557,           0.0016557
                  61,            0.019276,            0.012042,           0.0041072,             0.78805,             0.76865,             0.78804,              0.5684,            0.024697,            0.007853,           0.0036322,           0.0015143,           0.0015143,           0.0015143
                  62,            0.018428,            0.011757,           0.0036653,             0.78396,             0.81722,             0.78414,             0.57254,             0.02469,           0.0077872,           0.0024154,           0.0013729,           0.0013729,           0.0013729
                  63,            0.018676,            0.012166,           0.0028869,             0.78766,             0.83197,               0.789,             0.57401,            0.025118,            0.007776,           0.0021458,           0.0012314,           0.0012314,           0.0012314
                  64,            0.018667,            0.012011,           0.0035536,              0.7968,             0.81131,             0.78856,             0.57872,            0.024715,           0.0076723,           0.0022727,             0.00109,             0.00109,             0.00109
                  65,            0.018493,            0.012096,           0.0031981,             0.76905,             0.82176,             0.78578,             0.57743,            0.024346,            0.007816,           0.0023925,          0.00094857,          0.00094857,          0.00094857
                  66,            0.018267,            0.012078,           0.0036597,              0.7838,             0.82151,             0.78724,             0.57377,            0.024822,           0.0078077,           0.0024213,          0.00080714,          0.00080714,          0.00080714
                  67,            0.018357,             0.01192,           0.0035668,             0.78956,             0.81943,             0.79336,             0.57386,            0.024984,           0.0078144,           0.0025603,          0.00066571,          0.00066571,          0.00066571
                  68,            0.017887,            0.012086,           0.0033501,             0.78337,             0.80824,             0.79257,             0.58479,            0.024071,            0.007718,           0.0025346,          0.00052429,          0.00052429,          0.00052429
                  69,            0.017817,            0.012126,           0.0032918,             0.79325,             0.82023,             0.79043,             0.57466,            0.024602,           0.0078569,           0.0024324,          0.00038286,          0.00038286,          0.00038286
