               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027134,            0.015404,           0.0069628,             0.80553,             0.72449,             0.75548,             0.44399,            0.032196,           0.0076248,            0.010076,            0.006535,            0.006535,            0.006535
                  37,            0.027121,            0.015371,           0.0079362,             0.75191,             0.74557,             0.78682,             0.45595,            0.032409,            0.007336,           0.0078081,            0.006436,            0.006436,            0.006436
                  38,            0.027124,            0.015227,           0.0066177,             0.88801,             0.71057,             0.76919,              0.4705,             0.03141,           0.0076054,           0.0085435,            0.006337,            0.006337,            0.006337
                  39,            0.026527,            0.015571,           0.0067723,              0.7597,             0.78043,             0.79873,             0.48218,            0.031265,           0.0073309,           0.0070569,            0.006238,            0.006238,            0.006238
                  40,            0.026907,             0.01533,           0.0064527,             0.77625,             0.69964,             0.78568,             0.46943,            0.032218,           0.0077431,           0.0089791,            0.006139,            0.006139,            0.006139
                  41,            0.026356,            0.015173,           0.0067644,             0.82765,             0.76303,             0.82729,             0.49184,            0.031086,           0.0072647,           0.0065101,             0.00604,             0.00604,             0.00604
                  42,            0.026405,            0.015538,           0.0071628,             0.75812,             0.68511,             0.75598,             0.44897,            0.032009,           0.0077267,           0.0081433,            0.005941,            0.005941,            0.005941
                  43,            0.026178,            0.015451,           0.0067826,             0.78499,             0.72709,             0.77496,             0.49105,             0.03093,           0.0075527,           0.0080249,            0.005842,            0.005842,            0.005842
                  44,            0.026075,            0.015249,           0.0072433,             0.90536,             0.67831,             0.76012,             0.47138,            0.030011,           0.0074076,           0.0085827,            0.005743,            0.005743,            0.005743
                  45,            0.025758,            0.014866,           0.0061907,             0.74021,             0.71952,             0.77823,             0.48073,            0.030434,           0.0073167,           0.0082758,            0.005644,            0.005644,            0.005644
                  46,            0.025829,            0.014978,           0.0062347,             0.79199,             0.70046,             0.80286,             0.48001,            0.030752,           0.0073522,           0.0082547,            0.005545,            0.005545,            0.005545
                  47,            0.025409,            0.014761,           0.0066113,             0.82261,             0.69182,             0.79415,             0.48993,            0.029678,            0.007512,           0.0067414,            0.005446,            0.005446,            0.005446
                  48,             0.02534,            0.015288,           0.0054085,              0.7446,              0.7253,              0.7847,             0.45201,            0.031744,           0.0077159,           0.0082611,            0.005347,            0.005347,            0.005347
                  49,            0.025095,             0.01503,           0.0059395,             0.77463,             0.60849,             0.71895,             0.43019,            0.030885,           0.0079803,            0.014003,            0.005248,            0.005248,            0.005248
                  50,            0.024713,            0.014648,           0.0054829,             0.80341,             0.73027,             0.81486,             0.47875,            0.030831,           0.0073904,           0.0078465,            0.005149,            0.005149,            0.005149
                  51,            0.024679,            0.014672,           0.0056452,             0.84748,             0.73698,             0.81515,             0.48532,            0.031277,           0.0073477,           0.0061495,             0.00505,             0.00505,             0.00505
                  52,            0.024262,            0.014373,           0.0061544,             0.80854,             0.71073,             0.76833,             0.45157,            0.030704,           0.0077217,           0.0084796,            0.004951,            0.004951,            0.004951
                  53,             0.02409,            0.014352,           0.0052381,             0.86079,             0.69878,             0.76767,             0.45134,            0.030638,            0.007654,            0.010288,            0.004852,            0.004852,            0.004852
                  54,            0.024082,            0.014119,           0.0059272,             0.68812,             0.70646,             0.74854,             0.44339,            0.031394,           0.0077386,           0.0071529,            0.004753,            0.004753,            0.004753
                  55,             0.02409,            0.014611,            0.005631,             0.79732,             0.70468,             0.75436,             0.44583,            0.029932,           0.0078987,           0.0083451,            0.004654,            0.004654,            0.004654
                  56,            0.024101,            0.015013,           0.0054944,             0.78818,             0.69747,               0.763,              0.4716,            0.030159,           0.0077542,           0.0075698,            0.004555,            0.004555,            0.004555
                  57,            0.023277,            0.014325,           0.0055638,             0.74502,             0.72128,             0.78551,             0.47093,            0.030378,           0.0075776,           0.0076426,            0.004456,            0.004456,            0.004456
                  58,            0.023168,            0.014417,           0.0052041,             0.67599,             0.79359,             0.77968,             0.46071,            0.029738,           0.0076863,           0.0078171,            0.004357,            0.004357,            0.004357
                  59,            0.023442,            0.014086,           0.0049256,             0.77249,              0.7556,             0.79024,             0.48136,             0.02935,           0.0073729,           0.0076808,            0.004258,            0.004258,            0.004258
                  60,             0.02267,            0.013953,           0.0049003,             0.88765,             0.73534,             0.82423,             0.50018,            0.029428,           0.0073326,           0.0059383,            0.004159,            0.004159,            0.004159
                  61,            0.022679,            0.013846,           0.0046367,             0.76166,              0.7335,             0.79409,             0.49664,            0.029463,           0.0076318,           0.0069764,             0.00406,             0.00406,             0.00406
                  62,            0.022947,            0.014335,           0.0050062,             0.80573,              0.7521,             0.78425,             0.45915,            0.029911,           0.0077115,           0.0078186,            0.003961,            0.003961,            0.003961
                  63,            0.022286,              0.0134,           0.0047192,             0.71584,             0.76481,             0.76726,             0.47111,            0.030817,           0.0075126,           0.0085826,            0.003862,            0.003862,            0.003862
                  64,            0.022393,            0.013953,           0.0049396,              0.7574,             0.75321,             0.81733,             0.49008,            0.030355,           0.0075331,           0.0056428,            0.003763,            0.003763,            0.003763
                  65,            0.022801,            0.013744,           0.0051336,             0.77477,             0.77548,             0.83184,             0.48668,            0.030791,           0.0075331,           0.0058869,            0.003664,            0.003664,            0.003664
                  66,            0.022655,            0.013749,           0.0045333,              0.8947,              0.7124,             0.76387,             0.45352,            0.031987,           0.0075202,           0.0062536,            0.003565,            0.003565,            0.003565
                  67,            0.022039,            0.013719,           0.0045872,             0.73908,             0.76681,             0.78512,             0.48536,            0.030392,           0.0077264,           0.0070285,            0.003466,            0.003466,            0.003466
                  68,            0.021629,            0.013427,           0.0044672,              0.7129,             0.74464,             0.75544,             0.45159,             0.03082,           0.0074712,           0.0079023,            0.003367,            0.003367,            0.003367
                  69,            0.021817,            0.013497,           0.0044503,             0.91356,             0.66007,             0.77219,             0.46573,            0.031178,           0.0074311,           0.0069309,            0.003268,            0.003268,            0.003268
                  70,            0.021577,            0.013187,            0.003897,             0.94306,             0.66633,             0.79013,             0.46693,            0.030754,           0.0076131,            0.007027,            0.003169,            0.003169,            0.003169
                  71,            0.021839,            0.013563,           0.0043107,             0.78217,             0.68485,             0.76833,             0.46085,            0.030592,           0.0076059,           0.0088539,             0.00307,             0.00307,             0.00307
                  72,            0.021873,            0.013859,           0.0042258,             0.67861,             0.79936,             0.80578,             0.51105,            0.030526,            0.007443,           0.0059552,            0.002971,            0.002971,            0.002971
                  73,            0.021153,            0.013076,            0.004241,              0.8566,             0.71097,             0.77821,              0.4898,             0.03038,           0.0076099,           0.0065231,            0.002872,            0.002872,            0.002872
                  74,            0.021196,            0.013215,           0.0038741,             0.85275,             0.74455,             0.79634,             0.48919,            0.029912,           0.0075375,           0.0060917,            0.002773,            0.002773,            0.002773
                  75,            0.020965,            0.013099,           0.0036898,             0.76134,             0.75174,             0.79512,             0.48751,            0.030747,           0.0077987,           0.0063825,            0.002674,            0.002674,            0.002674
                  76,            0.021288,            0.013094,           0.0036592,             0.75954,             0.73862,             0.79338,             0.49298,            0.030336,           0.0078723,           0.0069327,            0.002575,            0.002575,            0.002575
                  77,            0.020772,            0.012911,           0.0037353,             0.71081,             0.75273,             0.78591,             0.47984,            0.030565,           0.0078346,           0.0075603,            0.002476,            0.002476,            0.002476
                  78,            0.020699,            0.012992,           0.0037317,             0.74532,              0.7339,             0.78303,             0.48439,            0.030522,           0.0076805,           0.0062248,            0.002377,            0.002377,            0.002377
                  79,            0.020019,             0.01283,           0.0035978,             0.78894,              0.7485,             0.79996,             0.51208,             0.02936,           0.0077604,           0.0056751,            0.002278,            0.002278,            0.002278
                  80,            0.019899,            0.012633,           0.0032344,             0.78527,             0.73595,             0.81385,             0.51467,            0.029553,           0.0078194,           0.0050193,            0.002179,            0.002179,            0.002179
                  81,            0.020159,            0.012724,           0.0040832,              0.7736,             0.75353,              0.8148,             0.51372,            0.029827,           0.0077253,           0.0062973,             0.00208,             0.00208,             0.00208
                  82,            0.020406,             0.01315,           0.0037039,             0.79286,             0.71825,              0.7947,             0.50063,            0.029725,           0.0078727,           0.0057514,            0.001981,            0.001981,            0.001981
                  83,            0.020259,            0.013026,           0.0035696,             0.74862,             0.71954,             0.78931,             0.49697,             0.02999,           0.0079064,           0.0061805,            0.001882,            0.001882,            0.001882
                  84,              0.0195,            0.012744,           0.0035115,             0.94019,             0.66179,             0.79644,              0.5061,             0.02991,           0.0077898,           0.0059203,            0.001783,            0.001783,            0.001783
                  85,            0.019507,            0.012492,            0.002923,             0.74612,              0.7725,             0.80968,              0.4903,            0.029903,           0.0078949,           0.0061836,            0.001684,            0.001684,            0.001684
                  86,            0.019458,            0.012686,           0.0033538,              0.7161,             0.72441,             0.77731,             0.48539,            0.029902,           0.0078568,           0.0062229,            0.001585,            0.001585,            0.001585
                  87,            0.019236,            0.012297,           0.0030055,              0.7934,             0.69036,             0.78921,             0.49234,            0.029814,           0.0078173,           0.0072017,            0.001486,            0.001486,            0.001486
                  88,            0.018989,            0.012527,           0.0030064,             0.68574,             0.76275,             0.77186,             0.48996,            0.029872,           0.0078435,           0.0068326,            0.001387,            0.001387,            0.001387
                  89,            0.018794,            0.012322,           0.0026537,             0.80034,             0.68061,             0.75491,             0.47939,            0.029621,           0.0078094,           0.0068398,            0.001288,            0.001288,            0.001288
                  90,            0.018887,            0.012673,            0.003171,             0.81467,             0.68978,             0.76975,             0.48263,            0.029716,           0.0078486,           0.0063592,            0.001189,            0.001189,            0.001189
                  91,            0.018733,            0.012116,           0.0031274,              0.7036,             0.77001,             0.79728,             0.49917,            0.029781,           0.0077477,           0.0070026,             0.00109,             0.00109,             0.00109
                  92,            0.018573,            0.012062,           0.0028759,             0.75533,             0.73201,             0.79629,             0.48578,            0.029662,           0.0078597,           0.0067118,            0.000991,            0.000991,            0.000991
                  93,            0.018494,            0.012126,           0.0027301,             0.90734,             0.69295,             0.78382,             0.48014,             0.03006,           0.0078157,             0.00645,            0.000892,            0.000892,            0.000892
                  94,            0.018571,            0.012377,           0.0030627,             0.82275,             0.69595,             0.78725,             0.48839,            0.029683,           0.0077961,           0.0063738,            0.000793,            0.000793,            0.000793
                  95,            0.018515,             0.01219,           0.0031556,             0.70838,             0.75192,             0.79215,              0.4894,            0.029933,           0.0077991,           0.0059152,            0.000694,            0.000694,            0.000694
                  96,            0.018101,            0.011872,           0.0027102,             0.94057,             0.67793,             0.78311,             0.48938,            0.029697,           0.0078479,           0.0062767,            0.000595,            0.000595,            0.000595
                  97,            0.018151,            0.011778,           0.0026551,             0.92133,             0.67571,             0.78625,             0.48528,             0.02973,           0.0078741,           0.0062324,            0.000496,            0.000496,            0.000496
                  98,             0.01813,            0.011715,           0.0028309,              0.9284,             0.68432,              0.7885,             0.48883,            0.029901,           0.0078866,           0.0061139,            0.000397,            0.000397,            0.000397
                  99,            0.017833,             0.01149,           0.0025529,             0.81408,             0.68491,              0.7805,             0.48734,             0.02969,           0.0078236,           0.0062109,            0.000298,            0.000298,            0.000298
