name;squirrels;fats;carbohydrates;calories
Cheese;23,4;30;0;371
Bread;4,7;0,7;49,8;214
Porridge;12,6;2,6;68;329
Coffe;4,3;1;6,4;52
Tea;9,7;4,7;13,4;105
Casserole;12,9;17,51;24,39;290
Omlet;7,9;9,5;2,8;130
